Platform,Module/Page,Component,Scenario,Steps to Reproduce,Expected Result,Actual Result,Issue Type,Severity,Recommended Fix,Status
Customer Web,Booking payment /booking/payment/{id},Provider availability gate,Booking is created and reaches payment before any provider availability check,1) Sign in as customer 2) Open /services/ac-installation 3) Select Pratap Nagar 4) Pick Thu 10 Sept + Morning Window 5) Click Proceed to book,Provider availability is validated before a booking row is created; if nobody can serve the slot the slot is shown as unavailable at selection time,Booking NST-260909-MMEF5 is created with status Awaiting Payment; then the payment step dead-ends with 'No one is available for this slot'. An unpayable orphan booking is left behind and the slot picker gave no warning,Functional,Critical,Validate provider availability during slot selection and before creating the booking; or auto-expire and clean up bookings that fail the availability gate,Fixed - 1826893
Customer Web + Provider Web + Admin Web,Authentication,Session lifetime and storage,Sessions expire in about 15 minutes with no silent refresh and die with the tab,1) Sign in to any of the three apps 2) Leave the tab idle about 15 minutes 3) Navigate to any authenticated route,The session is refreshed transparently using the stored refresh token; the user stays signed in,All three apps bounce to the login screen. The JWT is held only in sessionStorage with no cookie; so the session is per-tab; a second tab is never signed in and closing the tab logs the user out,Functional,High,Refresh the access token in the background before expiry; move the session to a secure httpOnly cookie or a shared store so it survives tab changes,Fixed - d9f557c (customer-web already had this; provider-web now matches. admin-web deferred: no refresh endpoint/session store exists server-side - see AdminLoginContracts.cs, access-token-only by design. Storage stays sessionStorage; httpOnly-cookie migration not done)
Provider Web,Login /login,Session expiry messaging,Expired session redirect shows a credentials error,1) Sign in as provider 2) Wait for the session to expire 3) Navigate to /availability,A message such as 'Your session expired; please sign in again',The login page renders 'Invalid email or password.' which wrongly implies the credentials were wrong rather than that the session lapsed,UI-UX,Medium,Distinguish session-expiry redirects from failed credential attempts and show the correct message,Fixed - 0570aa8 (checked customer-web and admin-web: neither showed any message on a guard redirect, so nothing to fix there for this row)
Customer Web,Booking payment /booking/payment/{id},Booking reference prefix,Customer-facing booking reference still uses the pre-rebrand prefix,1) Place any booking 2) Read the Booking ID on the payment screen,A reference consistent with the Glavyx brand,The reference reads NST-260909-MMEF5; the NST prefix is the old Nestly brand and is shown directly to customers. Internal storage keys are likewise nestly.* and the admin sidebar links Glavyx Coins to /nestly-coins,UI-UX,Medium,Change the booking reference prefix for new bookings and keep the old prefix resolvable for historical lookups,Fixed - feefeef
Customer Web,Service detail /services/ac-installation,Book now CTA,Primary CTA stays enabled when the service is not serviceable,1) Open /services/ac-installation 2) Select a locality where the service is not enabled (for example Malviya Nagar),Book now is disabled or hidden while the location is unserviceable,The red alert 'Not available here - This service isn't available in your area yet' renders and a full-width enabled Book now button sits directly beneath it; the anchor has full opacity; no aria-disabled and pointer-events auto,UI-UX,High,Disable or hide Book now whenever the serviceability check returns false,Fixed - b9baa6d
Customer Web,Service detail /services/ac-installation,Availability panel,Serviceable result never resolves and no positive confirmation is shown,1) Open /services/ac-installation 2) Select Pratap Nagar where the service IS serviceable,A clear confirmation such as 'Available in your area' once the check returns,The panel stays on a loading skeleton showing only 'Checking for Pratap Nagar'; no serviceability request is fired on that render; an unserviceable locality by contrast resolves quickly to a red error. The success path has no confirmation state at all,Functional,High,Fire the serviceability request on locality selection and render an explicit available state,Fixed - 4d9fb5a
Customer Web,Booking summary /booking/summary,Slot date strip,Date strip defaults to a date that cannot be booked,1) Open the booking summary after selecting a serviceable locality 2) Observe the preselected date,The first bookable date is preselected,Today is preselected and the time window panel reads 'Bookings have closed for this date - It's too late to book this one'; the user must notice and move to the next day themselves,UI-UX,Medium,Default the strip to the first date that still has open slots,Fixed - 0101e87
Customer Web,Booking summary /booking/summary,Slot loading,Slot availability is fetched with one request per visible date,1) Open the booking summary 2) Watch the network calls,A single batched request covering the visible date range,Seven separate /slots calls fire; one per date in the strip; each taking 1.6s to 3.5s against the production API,Performance,High,Return the whole visible range from one endpoint call,Fixed - 04589d3
Customer Web,Catalog and booking APIs,Backend response time,Production API responses are consistently slow,1) Load /services/ac-installation and the booking summary 2) Measure the API calls,Sub-second responses for catalog and pricing reads,pricing/calculate took 2.8s and 2.9s; service detail 1.0s to 2.3s; each /slots call 1.6s to 3.5s. The API is hosted on glavyx-consumer-api.onrender.com which also implies cold-start pauses,Performance,High,Profile and index the slow queries; add caching for catalog and pricing reads; move off a cold-starting host tier for production,Fixed - 6006adf (response caching for pricing/calculate and catalog reads already in place from 99d49bc; added the missing slot_window(city_id,is_active) index for the /slots hot path in 6006adf, and audited service-detail/pricing/serviceability queries - all already indexed on their actual predicates. Live query profiling and moving off the cold-starting host tier remain infra-only work outside this repo)
Customer Web,Service detail /services/ac-installation,Locality search box,Typed locality filter is unreliable and blocks selection,1) Open /services/ac-installation 2) Click the 'Locality name or pincode' box and type Pratap 3) Click the returned Pratap Nagar row,The typed filter narrows the list and the row can be selected,Observed twice: the input sometimes does not take focus on click so typed characters are dropped; and when the list IS filtered clicking the single result does not select it even though the click lands on the correct button with nothing overlapping it. Selecting from the unfiltered list works,Functional,High,Fix focus handling on the search input and the click handler for filtered result rows; add a test covering selection from a filtered list,Fixed - 38728ed
